blue_bans,red_bans,blue_picks,red_picks,patch,Blue Side Roster,Red Side Roster,blue_side,red_side,winner,loser
,,,,,,,Chief Esports Club,Fnatic,red_side,blue_side
Kalista,Draven,Aatrox,Renekton,12.18,,,,,,
Sejuani,Graves,Trundle,Jarvan IV,12.18,,,,,,
Caitlyn,Hecarim,Sylas,Azir,12.18,,,,,,
Amumu,Taliyah,Kaisa,Miss Fortune,12.18,,,,,,
Braum,Ahri,Alistar,Leona,12.18,,,,,,
,,,,,,,MAD Lions,Istanbul Wildcats,blue_side,red_side
Sylas,Caitlyn,Jax,Fiora,12.18,,,,,,
Aatrox,Yuumi,Hecarim,Sejuani,12.18,,,,,,
Kalista,Olaf,Azir,LeBlanc,12.18,,,,,,
Akali,Galio,Seraphine,Kaisa,12.18,,,,,,
Taliyah,Leona,Nautilus,Amumu,12.18,,,,,,
,,,,,,,LOUD,Beyond Gaming,red_side,blue_side
Hecarim,Kalista,Aatrox,Renekton,12.18,,,,,,
Akali,Yuumi,Graves,Viego,12.18,,,,,,
Ornn,Sejuani,Viktor,Sylas,12.18,,,,,,
Jarvan IV,Karma,Miss Fortune,Caitlyn,12.18,,,,,,
Lee Sin,Nautilus,Leona,Lux,12.18,,,,,,
,,,,,,,Fnatic,Evil Geniuses,blue_side,red_side
Draven,Caitlyn,Ornn,Gnar,12.18,,,,,,
Aatrox,Kalista,Graves,Hecarim,12.18,,,,,,
Sylas,Sejuani,Lissandra,Taliyah,12.18,,,,,,
Swain,LeBlanc,Miss Fortune,Seraphine,12.18,,,,,,
Viktor,Azir,Amumu,Leona,12.18,,,,,,
,,,,,,,Isurus,MAD Lions,red_side,blue_side
