blue_bans,red_bans,blue_picks,red_picks,patch,Blue Side Roster,Red Side Roster,blue_side,red_side,winner,loser
Udyr,Senna,Urgot,Renekton,11.9,,,,,,
Morgana,Nocturne,Nidalee,Graves,11.9,,,,,,
Gnar,Rumble,Orianna,Ahri,11.9,,,,,,
Diana,Xayah,Tristana,Kaisa,11.9,,,,,,
Fiddlesticks,Varus,Alistar,Nautilus,11.9,,,,,,
,,,,,,,Unicorns Of Love,Pentanet.GG,blue_side,red_side
Tristana,Varus,Nocturne,Renekton,11.9,,,,,,
Udyr,Senna,Rumble,Morgana,11.9,,,,,,
Lee Sin,Thresh,Viktor,Sylas,11.9,,,,,,
Nautilus,Orianna,Xayah,Kaisa,11.9,,,,,,
Rell,Gnar,Alistar,Leona,11.9,,,,,,
,,,,,,,Unicorns Of Love,Royal Never Give Up,red_side,blue_side
Senna,Varus,Renekton,Gangplank,11.9,,,,,,
Lee Sin,Leona,Rumble,Morgana,11.9,,,,,,
Udyr,Nocturne,Sylas,Yone,11.9,,,,,,
Gnar,Kalista,Aphelios,Kaisa,11.9,,,,,,
Lucian,Jinx,Thresh,Nautilus,11.9,,,,,,
,,,,,,,PSG Talon,Istanbul Wildcats,blue_side,red_side
Renekton,Senna,Lee Sin,Camille,11.9,,,,,,
Draven,Varus,Morgana,Olaf,11.9,,,,,,
Udyr,Rumble,KogMaw,Zoe,11.9,,,,,,
Karma,Lucian,Aphelios,Jinx,11.9,,,,,,
Nocturne,Orianna,Thresh,Tahm Kench,11.9,,,,,,
,,,,,,,MAD Lions,paiN Gaming,blue_side,red_side
Gnar,Lee Sin,Renekton,Gangplank,11.9,,,,,,
Zoe,Tahm Kench,Morgana,Udyr,11.9,,,,,,
Varus,Rumble,Tristana,Viktor,11.9,,,,,,
Orianna,Rakan,Jinx,Kaisa,11.9,,,,,,
Alistar,Ryze,Thresh,Rell,11.9,,,,,,
,,,,,,,Cloud9,Infinity eSports,blue_side,red_side
Renekton,Senna,Gangplank,Urgot,11.9,,,,,,
Lee Sin,Thresh,Morgana,Udyr,11.9,,,,,,
Rumble,Varus,Viktor,Zoe,11.9,,,,,,
Sett,Lucian,Xayah,Tristana,11.9,,,,,,
Nocturne,Gnar,Alistar,Rell,11.9,,,,,,
,,,,,,,DWG KIA,Detonation FocusMe,blue_side,red_side
Tristana,Nocturne,Jayce,Gnar,11.9,,,,,,
Rumble,Varus,Udyr,Morgana,11.9,,,,,,
Lillia,Thresh,Viktor,Lee Sin,11.9,,,,,,
Rell,Braum,Kaisa,Samira,11.9,,,,,,
Nautilus,Alistar,Galio,Rakan,11.9,,,,,,
,,,,,,,Unicorns Of Love,Pentanet.GG,red_side,blue_side
Renekton,Tristana,Lee Sin,Nocturne,11.9,,,,,,
Senna,Udyr,Rumble,Nidalee,11.9,,,,,,
Morgana,Kaisa,Orianna,Kassadin,11.9,,,,,,
Jayce,Ashe,Kalista,Varus,11.9,,,,,,
Gnar,Lucian,Nautilus,Leona,11.9,,,,,,
,,,,,,,Royal Never Give Up,Unicorns Of Love,blue_side,red_side
Varus,Draven,Karma,Gnar,11.9,,,,,,
Renekton,Alistar,Hecarim,Rumble,11.9,,,,,,
Thresh,Camille,Ryze,Lucian,11.9,,,,,,
Akali,Irelia,Tristana,Kaisa,11.9,,,,,,
Sylas,Nocturne,Rell,Leona,11.9,,,,,,
,,,,,,,paiN Gaming,PSG Talon,red_side,blue_side
Thresh,Tahm Kench,Nocturne,Wukong,11.9,,,,,,
Lucian,Lee Sin,Udyr,Volibear,11.9,,,,,,
Rumble,Morgana,Ryze,Viktor,11.9,,,,,,
Orianna,Sylas,Tristana,Kaisa,11.9,,,,,,
Renekton,Gnar,Leona,Nautilus,11.9,,,,,,
,,,,,,,Istanbul Wildcats,MAD Lions,red_side,blue_side
Thresh,Rumble,Gnar,Jayce,11.9,,,,,,
