blue_bans,red_bans,blue_picks,red_picks,patch,blue_side,red_side,winner,loser
,,,,,CLG,Team Liquid,red_side,blue_side
Karma,Tahm Kench,Gnar,Tryndamere,12.3,,,,
Caitlyn,Gwen,Hecarim,Xin Zhao,12.3,,,,
Jarvan IV,Zeri,Veigar,Corki,12.3,,,,
Lulu,Orianna,Jinx,Aphelios,12.3,,,,
Jayce,Zilean,Thresh,Leona,12.3,,,,
,,,,,Golden Guardians,Dignitas,blue_side,red_side
Corki,Gwen,Karma,Camille,12.3,,,,
Caitlyn,Zeri,Xin Zhao,Nocturne,12.3,,,,
Jarvan IV,Lulu,Ryze,Orianna,12.3,,,,
Tahm Kench,Nautilus,Jinx,Karthus,12.3,,,,
Chogath,Olaf,Alistar,Senna,12.3,,,,
,,,,,TSM,Cloud9,red_side,blue_side
Tahm Kench,Caitlyn,Gnar,Tryndamere,12.3,,,,
Karma,Zeri,Trundle,Hecarim,12.3,,,,
Gwen,Ryze,Corki,Veigar,12.3,,,,
Jarvan IV,Jayce,Aphelios,Jinx,12.3,,,,
Irelia,Olaf,Leona,Thresh,12.3,,,,
,,,,,100 Thieves,FlyQuest,red_side,blue_side
Veigar,Zeri,Gragas,Graves,12.3,,,,
Caitlyn,Gwen,Jarvan IV,Volibear,12.3,,,,
Hecarim,Karma,Corki,Orianna,12.3,,,,
Camille,Olaf,Aphelios,Jinx,12.3,,,,
Xin Zhao,Udyr,Thresh,Nautilus,12.3,,,,
,,,,,Evil Geniuses,Immortals,red_side,blue_side
Karthus,Zeri,Camille,Gnar,12.3,,,,
Udyr,Gwen,Hecarim,Xin Zhao,12.3,,,,
Olaf,Yuumi,Ryze,Corki,12.3,,,,
Jarvan IV,Caitlyn,Sivir,Jinx,12.3,,,,
Renekton,Jhin,Karma,Thresh,12.3,,,,
,,,,,CLG,Cloud9,blue_side,red_side
Gwen,Jarvan IV,Graves,Irelia,12.3,,,,
Karma,Caitlyn,Udyr,Lee Sin,12.3,,,,
Jinx,Hecarim,Orianna,Corki,12.3,,,,
Xin Zhao,Viktor,Zeri,Tahm Kench,12.3,,,,
Tryndamere,Ryze,Yuumi,Senna,12.3,,,,
,,,,,Dignitas,FlyQuest,red_side,blue_side
Ryze,Zeri,Graves,Gnar,12.3,,,,
Tryndamere,Gwen,Volibear,Xin Zhao,12.3,,,,
Hecarim,Thresh,Veigar,Corki,12.3,,,,
Tahm Kench,Karma,Jinx,Jhin,12.3,,,,
Trundle,Jayce,Nautilus,Leona,12.3,,,,
,,,,,Team Liquid,Evil Geniuses,blue_side,red_side
Corki,Zeri,Lulu,Camille,12.3,,,,
Caitlyn,Gwen,Udyr,Hecarim,12.3,,,,
Tahm Kench,Karma,Orianna,Ahri,12.3,,,,
Jarvan IV,Olaf,Jinx,Aphelios,12.3,,,,
Graves,Xin Zhao,Nautilus,Thresh,12.3,,,,
,,,,,TSM,Immortals,blue_side,red_side
Karma,Zeri,Gnar,Jayce,12.3,,,,
Jarvan IV,Gwen,Xin Zhao,Trundle,12.3,,,,
Caitlyn,Tahm Kench,Zilean,Corki,12.3,,,,
Olaf,Ryze,Aphelios,Jinx,12.3,,,,
Poppy,Viktor,Leona,Thresh,12.3,,,,
,,,,,Golden Guardians,100 Thieves,red_side,blue_side
Jarvan IV,Gwen,Graves,Tryndamere,12.3,,,,
Thresh,Zeri,Xin Zhao,Poppy,12.3,,,,
Olaf,Ryze,Orianna,Corki,12.3,,,,
Nautilus,Twisted Fate,Jhin,Jinx,12.3,,,,
Leona,Ahri,Yuumi,Karma,12.3,,,,
,,,,,CLG,Dignitas,red_side,blue_side
Caitlyn,Zeri,Graves,Jayce,12.3,,,,
Thresh,Gwen,Jarvan IV,Trundle,12.3,,,,
Tahm Kench,Karma,Orianna,Corki,12.3,,,,
Xin Zhao,Rakan,Jinx,Aphelios,12.3,,,,
Lee Sin,Nautilus,Braum,Leona,12.3,,,,
,,,,,FlyQuest,Team Liquid,red_side,blue_side
Aphelios,Zeri,Graves,Tryndamere,12.3,,,,
Caitlyn,Gwen,Xin Zhao,Jarvan IV,12.3,,,,
Karma,Jinx,Akali,Viktor,12.3,,,,
Azir,Ryze,Ezreal,Sett,12.3,,,,
Ahri,Corki,Tahm Kench,Senna,12.3,,,,
,,,,,Evil Geniuses,100 Thieves,red_side,blue_side
Jarvan IV,Zeri,Lulu,Graves,12.3,,,,
Karma,Gwen,Xin Zhao,Zed,12.3,,,,
Yuumi,Caitlyn,Vex,Viktor,12.3,,,,
Corki,Syndra,Jinx,Aphelios,12.3,,,,
Ryze,Ahri,Rell,Leona,12.3,,,,
,,,,,TSM,Golden Guardians,red_side,blue_side
Irelia,Ahri,Jayce,Malphite,12.3,,,,
Aphelios,Zeri,Viego,Xin Zhao,12.3,,,,
Caitlyn,Gwen,Viktor,Zilean,12.3,,,,
Tryndamere,Syndra,Jinx,Ezreal,12.3,,,,
LeBlanc,Corki,Leona,Karma,12.3,,,,
,,,,,Immortals,Cloud9,red_side,blue_side
Xin Zhao,Zeri,Renekton,Ornn,12.3,,,,
Syndra,Ryze,Lee Sin,Jarvan IV,12.3,,,,
Karma,Gwen,Viktor,Zoe,12.3,,,,
Orianna,Thresh,Aphelios,Jinx,12.3,,,,
Corki,Rell,Rakan,Tahm Kench,12.3,,,,
,,,,,TSM,FlyQuest,red_side,blue_side
Karma,Zeri,Renekton,Ornn,12.3,,,,
Diana,Gwen,Xin Zhao,Lee Sin,12.3,,,,
